"","TaxonUsageID","LETTERCODE","SHORTNAME","TaxonName","NATIVENAME","AuthorName","SYNONYM","TaxonConceptID"
"50130",50130,"CENCCLA","Pennisetum clandestinu","Pennisetum clandestinum",NA,"Hochst. ex Chiov.",TRUE,50129
"50131",50131,"CENCCLA","Kikuyuochloa clandesti","Kikuyuochloa clandestina",NA,"(Hochst. ex Chiov.) H. Scholz",TRUE,50129
"50137",50137,"CYNOPLE","Cynodon plectostachyus","Cynodon plectostachyus",NA,"(K. Schum.) Pilg.",FALSE,50137
"50142",50142,"KYLLERE","Kyllinga erecta","Kyllinga erecta",NA,"Schumach.",FALSE,50142
"50757",50757,"KYLLERE","Cyperus erectus","Cyperus erectus",NA,"(Schumach.) Mattf. & K¸k.",TRUE,50142
"50146",50146,"PANISUB","Panicum subalbidum","Panicum subalbidum",NA,"Kunth",FALSE,50146
"52006",52006,"PANISUB","Panicum glabrescens","Panicum glabrescens",NA,"Steud.",TRUE,50146
"52007",52007,"PANISUB","Panicum longijubatum","Panicum longijubatum",NA,"(Stapf) Stapf",TRUE,50146
"50147",50147,"SPERPRI","Spermacoce princeae","Spermacoce princeae",NA,"(K. Schum.) Verdc.",FALSE,50147
"50153",50153,"GERAARA","Geranium arabicum","Geranium arabicum",NA,"Forssk.",FALSE,50153
"50154",50154,"BRACFLE","Brachypodium flexum","Brachypodium flexum",NA,"Nees",FALSE,50154
"50155",50155,"JUNIPRO","Juniperus procera","Juniperus procera",NA,"Hochst. ex Endl.",FALSE,50155
"50156",50156,"SANIELA","Sanicula elata","Sanicula elata",NA,"Buch.-Ham. ex D. Don",FALSE,50156
"50157",50157,"STIPDRE","Stipa dregeana","Stipa dregeana",NA,"Steud.",FALSE,50157
"50158",50158,"OLEAE.C","Olea europaea ssp. cus","Olea europaea ssp. cuspidata",NA,"(Wall. ex G. Don) Cif.",FALSE,50158
"50159",50159,"OLEAE.C","Olea europaea ssp. afr","Olea europaea ssp. africana",NA,"(Mill.) P. S. Green",TRUE,50158
"51544",51544,"OLEAE.C","Olea africana","Olea africana",NA,"Mill.",TRUE,50158
